trend; pattern; quantile; daysRet; mean; SE; t; paval
20;falling_three;130;20;-0,0633816;0,0229493;-3,23372;0,0418933;**
20;falling_three;130;40;-0,0504758;0,0718262;-1,00285;0,210776; 
20;falling_three;130;60;-0,109534;0,0856486;-1,65687;0,119696; 
20;falling_three;260;5;-0,0410399;0,00715564;-6,12763;0,0017969;***
20;falling_three;260;10;-0,0206571;0,0214215;-1,22115;0,144542; 
20;falling_three;260;15;-0,0500933;0,0191848;-3,03658;0,0192655;**
20;falling_three;260;20;-0,0568409;0,0152455;-4,43873;0,00567253;***
20;falling_three;260;40;-0,00482645;0,0578194;-0,45628;0,335932; 
20;falling_three;260;60;-0,0299684;0,0801203;-0,778117;0,239979; 
20;evening_star;30;5;-0,00406486;0,00359051;-1,91398;0,0286229;**
20;evening_star;30;10;-0,00957432;0,00480009;-3,14077;0,000988473;***
20;evening_star;30;15;-0,0127846;0,0056399;-3,71416;0,000136757;***
20;evening_star;30;20;-0,00919653;0,00602007;-3,32663;0,00053505;***
20;evening_star;30;40;-0,02647;0,00948671;-5,06238;5,18507e-007;***
20;evening_star;30;60;-0,038355;0,0118727;-5,95733;6,8141e-009;***
20;evening_star;60;5;-0,00279728;0,00311324;-1,80023;0,0365502;**
20;evening_star;60;10;-0,00780284;0,00405788;-3,27868;0,000600127;***
20;evening_star;60;15;-0,0114661;0,0047118;-4,16591;2,17627e-005;***
20;evening_star;60;20;-0,0103987;0,0050876;-4,17264;2,11728e-005;***
20;evening_star;60;40;-0,0248939;0,00770203;-6,03078;3,12483e-009;***
20;evening_star;60;60;-0,0274526;0,00928465;-6,44367;3,2466e-010;***
20;evening_star;130;5;-0,00178204;0,00302151;-1,51888;0,0650457;*
20;evening_star;130;10;-0,00610528;0,00403763;-2,87469;0,00220134;***
20;evening_star;130;15;-0,00953249;0,00482658;-3,66623;0,000151169;***
20;evening_star;130;20;-0,0087625;0,00525978;-3,72496;0,000121459;***
20;evening_star;130;40;-0,0235597;0,00813759;-5,54403;3,84369e-008;***
20;evening_star;130;60;-0,0313536;0,00976206;-6,52815;1,92586e-010;***
20;evening_star;260;5;0,000194776;0,00297968;-0,876775;0,19069; 
20;evening_star;260;10;-0,00550378;0,0039497;-2,7864;0,00285171;***
20;evening_star;260;15;-0,00979709;0,00483001;-3,7184;0,000121645;***
20;evening_star;260;20;-0,00771257;0,00483465;-3,83535;7,78834e-005;***
20;evening_star;260;40;-0,0176224;0,00768248;-5,09963;3,18671e-007;***
20;evening_star;260;60;-0,0239219;0,00959399;-5,86789;6,37547e-009;***
50;hammer;30;5;-0,0169191;0,00156415;-12,6116;1,31814e-033;***
50;hammer;30;10;-0,027704;0,00222394;-14,9311;8,41898e-045;***
50;hammer;30;15;-0,0237477;0,00263724;-12,1;2,68186e-031;***
50;hammer;30;20;-0,0186122;0,00300777;-9,78871;1,02772e-021;***
50;hammer;30;40;-0,0075666;0,00424288;-6,86372;6,86756e-012;***
50;hammer;30;60;0,00291566;0,00528793;-5,57098;1,74705e-008;***
50;hammer;60;5;-0,0159211;0,00134517;-13,9227;1,86282e-040;***
50;hammer;60;10;-0,0260805;0,0019722;-16,0137;1,90579e-051;***
